player,batting_runs,batting_balls,dismissals,batting_strike_rate,batting_average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match,runs_conceded,bowling_balls,wickets,overs,economy
A Mishra,381,440,31,86.5909090909091,12.290322580645162,55,98.48484848484848,70.17543859649122,20.0,40.41994750656168,45.22727272727273,14.193548387096774,0.0909090909090909,3.109090909090909,4.8,4091,3371,173,561.8333333333334,7.281518837140314
A Symonds,974,781,26,124.71190781049935,37.46153846153846,36,148.73096446700507,122.28915662650604,83.72093023255815,55.64681724845995,39.436619718309856,30.03846153846154,2.388888888888889,13.833333333333334,5.472222222222222,676,527,20,87.83333333333333,7.696394686907022
AD Mathews,724,599,31,120.86811352253756,23.35483870967742,41,147.05882352941177,98.63481228668942,58.82352941176471,48.34254143646409,34.5575959933222,19.32258064516129,0.4146341463414634,7.146341463414634,7.048780487804878,1070,791,27,131.83333333333334,8.11630847029077
AD Russell,2655,1626,92,163.2841328413284,28.858695652173918,114,180.125786163522,145.20884520884522,241.17647058823528,78.56873822975517,43.48093480934809,17.67391304347826,0.1491228070175438,7.140350877192983,6.973684210526316,2802,1806,123,301.0,9.308970099667777
AM Nayar,672,588,39,114.28571428571428,17.23076923076923,50,155.0,95.1923076923077,85.52631578947368,50.595238095238095,39.795918367346935,15.076923076923077,1.52,6.24,4.0,312,229,9,38.16666666666666,8.17467248908297
AR Patel,1916,1489,88,128.67696440564137,21.772727272727277,123,146.5151515151515,114.9214659685864,109.23076923076924,56.57620041753654,35.527199462726664,16.920454545454547,0.5284552845528455,6.211382113821138,5.365853658536586,4078,3321,128,553.5,7.367660343270099
Abhishek Sharma,1816,1167,67,155.6126820908312,27.104477611940297,74,146.66666666666666,162.40208877284596,153.3132530120482,71.69603524229075,38.64610111396744,17.417910447761194,8.972972972972974,5.175675675675675,1.6216216216216215,498,336,11,56.0,8.892857142857142
Azhar Mahmood,388,311,19,124.7588424437299,20.42105263157895,21,130.85106382978725,125.90673575129534,91.66666666666666,60.30927835051546,39.87138263665595,16.36842105263158,1.1428571428571428,9.19047619047619,4.476190476190476,680,537,29,89.5,7.597765363128492
B Kumar,320,364,37,87.91208791208791,8.64864864864865,71,90.7936507936508,69.38775510204081,,44.375,48.35164835164835,9.83783783783784,0.0,0.6901408450704225,4.436619718309859,5336,4222,198,703.6666666666666,7.583135954523922
BA Stokes,935,718,41,130.22284122562675,22.804878048780488,43,156.8181818181818,122.0,129.03225806451613,55.18716577540107,35.23676880222841,17.51219512195122,4.325581395348837,9.30232558139535,3.069767441860465,984,689,28,114.83333333333331,8.568940493468796
BJ Hodge,1400,1153,46,121.42237640936686,30.43478260869565,63,157.40259740259742,107.84641068447412,87.57396449704143,53.28571428571428,38.074588031222895,25.065217391304348,2.6825396825396823,9.507936507936508,6.111111111111111,301,234,17,39.0,7.717948717948718
C Green,707,472,20,149.78813559322032,35.35,28,192.4528301886793,126.85950413223142,158.06451612903226,62.23479490806223,30.508474576271187,23.6,4.428571428571429,8.642857142857142,3.7857142857142856,645,439,17,73.16666666666667,8.815489749430524
C de Grandhomme,303,229,15,132.31441048034935,20.2,21,136.75213675213675,129.0909090909091,50.0,59.4059405940594,37.55458515283843,15.266666666666667,0.0952380952380952,5.238095238095238,5.571428571428571,299,216,6,36.0,8.305555555555555
CH Gayle,4997,3516,128,142.1217292377702,39.0390625,141,191.1184210526316,147.75900073475384,129.92976769313884,75.76545927556533,46.53014789533561,27.46875,13.127659574468083,9.652482269503546,2.1560283687943262,704,554,18,92.33333333333331,7.624548736462094
CH Morris,618,413,29,149.636803874092,21.310344827586206,49,160.45016077170416,107.36842105263158,242.85714285714283,60.517799352750814,32.445520581113804,14.241379310344827,0.1428571428571428,1.9387755102040816,6.346938775510204,2278,1726,96,287.6666666666667,7.918887601390498
CJ Anderson,538,436,22,123.39449541284404,24.454545454545453,29,159.0909090909091,118.70229007633588,81.25,64.31226765799256,45.87155963302752,19.818181818181817,2.206896551724138,9.03448275862069,3.793103448275862,504,297,11,49.5,10.181818181818182
DJ Bravo,1560,1247,69,125.10024057738572,22.608695652173918,110,167.71217712177122,89.64346349745331,106.03448275862068,56.15384615384615,39.93584603047314,18.07246376811594,1.0545454545454545,5.354545454545455,4.927272727272728,4236,3120,183,520.0,8.146153846153846
DJ Hooda,1497,1213,82,123.41302555647157,18.25609756097561,101,137.05882352941177,122.80453257790369,98.20359281437123,51.03540414161657,35.28441879637263,14.792682926829269,1.6534653465346534,6.99009900990099,3.366336633663366,536,379,9,63.16666666666666,8.485488126649077
DJ Hussey,1322,1101,49,120.07266121707538,26.97959183673469,61,175.2136752136752,104.01069518716577,112.60504201680672,54.46293494704992,38.60127157129882,22.46938775510204,1.9508196721311477,12.262295081967212,3.836065573770492,478,317,8,52.833333333333336,9.04731861198738
DJG Sammy,295,251,15,117.52988047808766,19.666666666666668,20,134.65346534653466,104.86111111111111,133.33333333333331,56.949152542372886,43.02788844621514,16.733333333333334,0.3,7.2,5.05,343,236,11,39.333333333333336,8.720338983050848
DR Smith,2385,1803,81,132.27953410981698,29.444444444444443,88,147.36842105263156,146.35568513119534,120.93718843469593,70.52410901467505,46.1453133666112,22.25925925925926,11.397727272727272,7.795454545454546,1.2954545454545454,796,539,26,89.83333333333333,8.860853432282005
DT Christian,460,408,28,112.74509803921568,16.428571428571427,41,134.93449781659388,86.54970760233918,37.5,44.78260869565218,35.53921568627451,14.571428571428571,0.1951219512195122,4.170731707317073,5.585365853658536,1174,883,38,147.16666666666666,7.977349943374859
GJ Maxwell,2820,1896,117,148.73417721518987,24.102564102564106,134,172.4431818181818,145.18760195758566,136.16352201257862,68.01418439716312,38.607594936708864,16.205128205128204,2.373134328358209,9.149253731343284,2.626865671641791,1390,1022,41,170.33333333333334,8.160469667318981
HH Pandya,2758,1962,99,140.57084607543325,27.858585858585855,140,161.5819209039548,129.4972067039106,92.85714285714286,62.65409717186367,36.13659531090724,19.818181818181817,1.3,6.392857142857143,6.321428571428571,2448,1628,78,271.3333333333333,9.022113022113023
HV Patel,270,241,28,112.03319502074687,9.642857142857142,41,125.30864197530865,84.81012658227847,,57.03703703703704,44.398340248962654,8.607142857142858,0.0,1.9268292682926829,3.951219512195122,3430,2425,151,404.1666666666667,8.48659793814433
Harbhajan Singh,833,636,56,130.9748427672956,14.875,88,143.77880184331798,99.32432432432432,114.8148148148148,68.18727490996399,44.81132075471698,11.357142857142858,0.6136363636363636,1.681818181818182,4.931818181818182,3996,3416,146,569.3333333333334,7.018735362997657
Harpreet Brar,244,214,13,114.01869158878505,18.76923076923077,26,127.5,74.07407407407408,,55.73770491803278,43.45794392523364,16.46153846153846,0.0,2.076923076923077,6.153846153846154,1069,811,35,135.16666666666666,7.908754623921085
IK Pathan,1150,985,53,116.751269035533,21.69811320754717,82,142.5806451612903,87.58314855875831,133.33333333333331,50.43478260869565,37.86802030456853,18.58490566037736,0.8414634146341463,5.5,5.670731707317073,2629,2043,80,340.5,7.720998531571219
J Botha,409,364,22,112.36263736263736,18.59090909090909,28,129.26829268292684,109.62566844919786,83.33333333333334,45.47677261613692,37.91208791208791,16.545454545454547,1.9285714285714288,6.678571428571429,4.392857142857143,799,694,25,115.66666666666669,6.9077809798270895
JA Morkel,975,712,40,136.938202247191,24.375,67,149.88235294117646,117.21611721611724,128.57142857142858,58.87179487179487,35.39325842696629,17.8,0.208955223880597,4.074626865671642,6.343283582089552,2297,1723,85,287.1666666666667,7.99883923389437
JD Ryder,604,466,29,129.6137339055794,20.82758620689655,29,160.71428571428572,114.42307692307692,131.73652694610777,64.56953642384106,42.91845493562232,16.06896551724138,11.517241379310343,3.586206896551724,0.9655172413793104,308,236,8,39.333333333333336,7.830508474576271
JH Kallis,2427,2291,89,105.93627237014404,27.269662921348317,95,170.56277056277057,96.23552123552123,101.171875,52.90482076637824,42.8633784373636,25.741573033707866,10.778947368421052,10.905263157894735,2.431578947368421,2265,1742,65,290.3333333333333,7.801377726750862
JO Holder,259,217,21,119.35483870967742,12.333333333333334,27,126.08695652173914,119.67213114754098,66.66666666666666,61.77606177606177,45.16129032258064,10.333333333333334,0.6666666666666666,2.259259259259259,5.111111111111111,1421,995,53,165.83333333333334,8.568844221105527
JP Duminy,2029,1680,49,120.77380952380952,41.40816326530612,75,166.41509433962264,101.33333333333334,94.0,48.20108427796944,33.45238095238095,34.285714285714285,3.333333333333333,12.0,7.066666666666666,815,678,23,113.0,7.212389380530974
JP Faulkner,527,406,28,129.80295566502463,18.821428571428573,45,149.31972789115648,80.43478260869566,70.0,53.510436432637576,35.714285714285715,14.5,0.4444444444444444,2.0444444444444443,6.533333333333333,1791,1238,61,206.33333333333331,8.680129240710823
JR Hopes,417,314,17,132.80254777070064,24.529411764705884,19,136.95652173913044,143.84615384615384,121.0144927536232,62.829736211031175,38.21656050955414,18.47058823529412,7.263157894736842,6.842105263157895,2.421052631578948,553,360,14,60.0,9.216666666666669
K Rabada,215,216,18,99.53703703703704,11.944444444444445,30,109.52380952380952,81.53846153846153,25.0,54.88372093023256,49.07407407407408,12.0,0.1333333333333333,2.1666666666666665,4.9,2705,1913,122,318.8333333333333,8.484056455828542
KA Pollard,3437,2447,129,140.45770331017573,26.643410852713178,168,160.0,120.39180765805877,98.14814814814817,64.82397439627582,39.51777686963629,18.968992248062012,0.3214285714285714,6.684523809523809,7.559523809523809,2095,1488,68,248.0,8.44758064516129
KH Pandya,1756,1376,80,127.61627906976744,21.95,114,149.2600422832981,117.0878459687124,106.94444444444444,57.061503416856496,39.02616279069768,17.2,0.631578947368421,7.2894736842105265,4.149122807017544,2925,2398,91,399.6666666666667,7.3185988323602995
KV Sharma,352,307,25,114.65798045602608,14.08,40,129.16666666666669,91.50943396226415,77.77777777777779,51.70454545454546,40.71661237785016,12.28,0.225,2.65,4.8,2237,1585,83,264.1666666666667,8.468138801261828
Kuldeep Yadav,201,240,13,83.75,15.461538461538462,37,89.16256157635468,54.054054054054056,,44.776119402985074,50.83333333333333,18.46153846153846,0.0,1.0,5.486486486486487,2749,2064,101,344.0,7.991279069767442
