batsman,runs,balls,dismissals,strike_rate,average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match
A Ashish Reddy,280,196,15,142.85714285714286,18.666666666666668,23,144.5945945945946,148.78048780487805,71.42857142857143,55.00000000000001,31.122448979591837,13.066666666666666,0.30434782608695654,1.7826086956521738,6.434782608695652
A Badoni,963,740,36,130.13513513513513,26.75,46,152.52225519287833,118.98016997167137,57.99999999999999,53.99792315680166,35.270270270270274,20.555555555555557,1.0869565217391304,7.673913043478261,7.326086956521739
A Chandila,4,7,1,57.14285714285714,4.0,2,57.14285714285714,,,0.0,42.857142857142854,7.0,0.0,0.0,3.5
A Chopra,53,75,5,70.66666666666667,10.6,6,50.0,78.125,65.85365853658537,52.83018867924528,60.0,15.0,6.833333333333333,5.333333333333333,0.3333333333333333
A Choudhary,25,20,2,125.0,12.5,3,125.0,,,40.0,20.0,10.0,0.0,0.0,6.666666666666667
A Dananjaya,4,5,0,80.0,inf,1,80.0,,,0.0,40.0,inf,0.0,0.0,5.0
A Flintoff,62,57,2,108.77192982456141,31.0,3,138.88888888888889,95.83333333333334,93.33333333333333,51.61290322580645,42.10526315789473,28.5,5.0,8.0,6.0
A Kamboj,16,15,2,106.66666666666667,8.0,6,106.66666666666667,,,50.0,46.666666666666664,7.5,0.0,0.0,2.5
A Kumble,35,49,2,71.42857142857143,17.5,15,77.27272727272727,20.0,,34.285714285714285,48.97959183673469,24.5,0.0,0.3333333333333333,2.933333333333333
A Manohar,292,243,19,120.16460905349795,15.368421052631579,20,149.4949494949495,104.76190476190477,66.66666666666666,60.273972602739725,40.74074074074074,12.789473684210526,0.9,6.3,4.95
A Mhatre,240,131,7,183.206106870229,34.285714285714285,7,100.0,181.8181818181818,186.31578947368422,79.16666666666666,34.35114503816794,18.714285714285715,13.571428571428571,4.714285714285714,0.42857142857142855
A Mishra,381,440,31,86.5909090909091,12.290322580645162,55,98.48484848484848,70.17543859649122,20.0,40.419947506561684,45.22727272727273,14.193548387096774,0.09090909090909091,3.109090909090909,4.8
A Mithun,34,26,5,130.76923076923077,6.8,6,135.71428571428572,125.0,,64.70588235294117,42.30769230769231,5.2,0.0,2.0,2.3333333333333335
A Mukund,19,23,2,82.6086956521739,9.5,2,0.0,83.33333333333334,87.5,21.052631578947366,39.130434782608695,11.5,8.0,3.0,0.5
A Nehra,41,63,8,65.07936507936508,5.125,17,65.07936507936508,,,43.90243902439025,58.730158730158735,7.875,0.0,0.0,3.7058823529411766
A Nortje,49,51,5,96.07843137254902,9.8,13,96.07843137254902,,,48.97959183673469,49.01960784313725,10.2,0.0,0.0,3.923076923076923
A Raghuvanshi,463,326,16,142.0245398773006,28.9375,18,131.8181818181818,132.8042328042328,165.59139784946237,60.475161987041034,30.368098159509206,20.375,5.166666666666667,10.5,2.4444444444444446
A Singh,2,10,4,20.0,0.5,5,25.0,0.0,,0.0,80.0,2.5,0.0,0.4,1.6
A Symonds,974,781,26,124.71190781049937,37.46153846153846,36,148.73096446700507,122.28915662650604,83.72093023255815,55.64681724845995,39.436619718309856,30.03846153846154,2.388888888888889,13.833333333333334,5.472222222222222
A Tomar,4,8,1,50.0,4.0,1,,,50.0,100.0,87.5,8.0,8.0,0.0,0.0
A Uniyal,4,7,1,57.14285714285714,4.0,2,57.14285714285714,,,0.0,42.857142857142854,7.0,0.0,0.0,3.5
A Zampa,15,25,5,60.0,3.0,5,54.54545454545454,64.28571428571429,,26.666666666666668,52.0,5.0,0.0,2.8,2.2
AA Bilakhia,69,88,5,78.4090909090909,13.8,7,105.88235294117648,47.61904761904761,69.6969696969697,28.985507246376812,48.86363636363637,17.6,4.714285714285714,3.0,4.857142857142857
AA Chavan,12,11,1,109.09090909090908,12.0,3,137.5,33.33333333333333,,66.66666666666666,45.45454545454545,11.0,0.0,1.0,2.6666666666666665
AA Jhunjhunwala,217,218,14,99.54128440366972,15.5,15,130.18867924528303,96.12403100775194,66.66666666666666,48.8479262672811,44.95412844036697,15.571428571428571,2.4,8.6,3.533333333333333
