bowler,runs_conceded,balls,wickets,overs,economy,death_overs_economy,middle_overs_economy,powerplay_economy,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,total_balls_bowled
A Ashish Reddy,388,262,18,43.666666666666664,8.885496183206108,9.742574257425744,7.896774193548388,20.0,101,155,6,262
A Badoni,50,35,4,5.833333333333333,8.571428571428571,7.125,10.333333333333334,0.0,16,18,1,35
A Chandila,245,234,11,39.0,6.282051282051282,6.0,7.142857142857143,5.791666666666667,6,84,144,234
A Choudhary,137,101,5,16.833333333333332,8.138613861386139,9.25,8.048780487804878,7.5,24,41,36,101
A Dananjaya,46,24,0,4.0,11.5,,11.333333333333334,12.0,0,18,6,24
A Flintoff,106,66,2,11.0,9.636363636363637,14.75,5.2,10.5,24,30,12,66
A Kamboj,275,189,10,31.5,8.73015873015873,6.0,9.8,8.576923076923077,3,30,156,189
A Kumble,1050,965,45,160.83333333333334,6.528497409326424,7.437125748502995,6.591304347826087,4.722222222222222,167,690,108,965
A Mishra,4091,3371,173,561.8333333333334,7.281518837140314,9.213051823416507,6.918141592920354,7.130434782608695,521,2712,138,3371
A Mithun,440,288,7,48.0,9.166666666666666,11.384615384615385,8.25,8.545454545454545,78,144,66,288
A Nehra,2447,1908,106,318.0,7.69496855345912,8.675521821631879,7.229166666666667,7.3449222323879235,527,288,1093,1908
A Nel,31,18,1,3.0,10.333333333333334,8.0,11.0,12.0,6,6,6,18
A Nortje,1623,1096,61,182.66666666666666,8.885036496350365,9.884792626728112,8.256880733944953,8.216216216216216,434,218,444,1096
A Singh,621,473,28,78.83333333333333,7.877378435517971,10.099378881987578,7.375,6.613636363636363,161,48,264,473
A Symonds,676,527,20,87.83333333333333,7.696394686907022,10.481927710843372,7.745454545454545,5.526315789473684,83,330,114,527
A Uniyal,65,36,2,6.0,10.833333333333334,8.666666666666666,18.0,10.5,18,6,12,36
A Zampa,643,467,31,77.83333333333333,8.261241970021414,11.123595505617978,7.767857142857143,6.142857142857143,89,336,42,467
AA Chavan,331,248,8,41.333333333333336,8.008064516129032,13.714285714285714,9.333333333333334,6.625,14,90,144,248
AA Jhunjhunwala,127,85,1,14.166666666666666,8.964705882352941,12.0,8.88888888888889,9.0,1,54,30,85
AA Kazi,20,12,0,2.0,10.0,,10.0,,0,12,0,12
AA Noffke,36,24,1,4.0,9.0,5.5,7.0,18.0,12,6,6,24
AB Agarkar,1129,782,29,130.33333333333334,8.662404092071611,9.956043956043956,7.814285714285714,9.333333333333334,182,420,180,782
AB Dinda,1991,1516,69,252.66666666666666,7.879947229551451,10.762135922330096,6.244897959183674,7.007407407407407,412,294,810,1516
