batsman,runs,balls,dismissals,strike_rate,average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match
V Kohli,8671,6505,231,133.29746348962337,37.53679653679654,259,187.67123287671237,125.13949163050218,126.2924071082391,55.91050628531888,32.95926210607225,28.16017316017316,9.55984555984556,12.455598455598455,3.1003861003861
SK Raina,5536,4025,168,137.54037267080744,32.95238095238095,200,172.55278310940497,131.55194527575887,133.90557939914163,58.67052023121387,33.14285714285714,23.95833333333333,5.825,11.695,2.605
SV Samson,4704,3368,151,139.66745843230404,31.1523178807947,171,191.64619164619165,137.5878853434289,124.10071942446044,60.16156462585034,34.412114014251785,22.3046357615894,6.502923976608187,10.812865497076023,2.380116959064328
AB de Villiers,5181,3400,125,152.3823529411765,41.448,170,225.3317249698432,131.4256515074093,120.6840390879479,61.26230457440649,30.558823529411764,27.2,3.611764705882353,11.511764705882351,4.876470588235295
SA Yadav,4311,2889,123,149.22118380062307,35.04878048780488,151,182.039911308204,144.29378531073448,140.1197604790419,65.5068429598701,33.85254413291797,23.48780487804878,4.423841059602649,11.721854304635762,2.986754966887417
SR Watson,3880,2801,126,138.5219564441271,30.793650793650794,141,187.1900826446281,154.07066052227344,113.0469371519491,68.24742268041237,41.55658693323813,22.23015873015873,8.914893617021276,9.23404255319149,1.716312056737589
DA Miller,3077,2213,89,139.04202440126525,34.57303370786517,133,172.4094881398252,122.7342549923195,89.0909090909091,55.50861228469288,31.089019430637144,24.865168539325843,0.8270676691729323,9.789473684210526,6.022556390977444
SS Iyer,3735,2792,114,133.77507163323784,32.76315789473684,131,180.8108108108108,134.2122186495177,112.91810841983852,58.152610441767074,34.13323782234957,24.49122807017544,6.618320610687023,11.870229007633588,2.8244274809160306
RR Pant,3566,2408,107,148.08970099667772,33.32710280373832,123,203.25203252032523,136.5681233933162,122.5,64.61020751542344,34.09468438538206,22.50467289719626,2.926829268292683,12.65040650406504,4.0
N Pooran,2293,1355,67,169.2250922509225,34.223880597014926,86,176.05042016806723,167.01570680628274,155.65217391304347,71.26035761011775,33.65313653136531,20.22388059701493,1.337209302325581,8.883720930232558,5.534883720930233
